person,name,lat,lng,type,time,modernName,ancientName
曹操,沛国谯县,33.8693,115.7793,birth,公元155年,安徽省亳州市,沛国谯县
曹操,洛阳,34.6197,112.454,normal,约公元174年 - 188年,河南省洛阳市,洛阳
曹操,兖州,35.14277,116.12353,normal,公元192年 - 195年,山东省西南部、河南省东部,兖州
曹操,许县,34.0358,113.8527,normal,公元196年 - 220年,河南省许昌市,许县
曹操,官渡,34.7257056,113.95448,normal,公元200年,河南省中牟县东北,官渡
曹操,邺城,36.3299194,114.6026094,normal,公元204年 - 220年,河北省临漳县西南,邺城
曹操,柳城,41.1708337,119.6050993,normal,公元207年,辽宁省朝阳市西南,柳城
曹操,赤壁,28.7153239,113.5766291,normal,公元208年,湖北省赤壁市西北，一说为其他地点,赤壁
曹操,汉中,33.0676,107.0238,normal,公元215年、219年,陕西省汉中市,汉中
曹操,洛阳,34.6197,112.454,death,公元220年,河南省洛阳市,洛阳
