person,ancient_name,modern_name
司马懿,179年: 河内郡温县 (出生),河南省焦作市温县
司马懿,201年: 河内郡温县 / 许昌 (被辟幕僚),河南省许昌市
司马懿,206年: 许昌 (强行入仕),河南省许昌市
司马懿,220年: 洛阳 (曹丕代汉),河南省洛阳市
司马懿,226年: 洛阳 (曹叡继位),河南省洛阳市
司马懿,230年—234年: 关中 (抵御北伐),陕西省西安市
司马懿,234年: 五丈原 (五丈原对峙),陕西省宝鸡市岐山县五丈原
司马懿,238年: 辽东 / 襄平 (平定辽东),辽宁省辽阳市
司马懿,249年: 洛阳 / 高平陵 (高平陵之变),河南省洛阳市
司马懿,265年(身后追尊): 洛阳 (追尊为帝),河南省洛阳市
司马懿,251年: 洛阳 (逝世),河南省洛阳市
吕雉,楚军军营,江苏省徐州市
孝庄,蒙古科尔沁,内蒙古自治区通辽市科尔沁左翼中旗
徐霞客,云南丽江,云南省丽江市
昌耀,朝鲜战场,朝鲜平壤
昌耀,河北荣军学校,河北省石家庄市
班禅额尔德尼·确吉坚赞,西藏自治区（拉萨等地）,西藏自治区拉萨市
蔡文姬,归汉后晚年,河南省洛阳市
赵师秀,上饶,江西省上饶市
赵师秀,临安,浙江省杭州市
赵师秀,金陵,江苏省南京市
赵师秀,永嘉,浙江省温州市永嘉县
赵师秀,筠州,江西省宜春市高安市
郑燮,兴化,江苏省泰州市兴化市
郑燮,扬州（初次）,江苏省扬州市
郑燮,焦山,江苏省镇江市焦山
郑燮,北京,北京市
郑燮,范县,河南省濮阳市范县
郑燮,潍县,山东省潍坊市
郑燮,扬州（再回）,江苏省扬州市
郑燮,兴化（晚年隐居地）,江苏省泰州市兴化市
重耳,狄国,山西省吕梁市
阎立本,雍州万年/榆林（存疑）,陕西省西安市
陈韪,广陵东阳,江苏省扬州市
陈韪,下邳,江苏省徐州市睢宁县古邳镇
陈韪,许都/许县,河南省许昌市
陈韪,邺城,河北省邯郸市临漳县
陈韪,洛阳,河南省洛阳市
隋炀帝,邗沟/通济渠沿线（线性路径）,河南省洛阳市
魏巍,郑州,河南省郑州市
魏巍,延安,陕西省延安市
魏巍,晋察冀抗日根据地,河北省保定市阜平县
魏巍,北京（解放军文艺社）,北京市
魏巍,朝鲜战场（前线）,朝鲜平壤
魏巍,北京（总政文化部）,北京市
魏巍,北京（晚年居所）,北京市
魏巍,北京,北京市
黄仁宇,中国（抗战大后方及战场）,重庆市
黄宗羲,浙东沿海,浙江省余姚市
黄巢,曹州冤句,山东省菏泽市
黄巢,长安（首次应试）,陕西省西安市
黄巢,濮州（起义爆发）,山东省菏泽市鄄城县
黄巢,广州,广东省广州市
黄巢,洛阳,河南省洛阳市
黄巢,长安（建立大齐）,陕西省西安市
黄巢,陈州,河南省周口市淮阳区
黄巢,汴州（王满渡）,河南省开封市
黄巢,泰山狼虎谷,山东省泰安市
测试人物,长安,陕西省西安市
